05025001,Ng? P?tiki,Mangatawa,"Tareha Lane, Tauranga"
05025002,Ng? P?tiki,Tahuwhakatiki (Romai),"681 Welcome Bay Road, Welcome Bay"
05025003,Ng?i Tamawhariua,Te Rangihouhiri (Oruarahi),"Matakana Point Road, Matakana Island"
05025004,Ng?i Tamawhariua,Te Rere a Tukahia,"46 Rereatukahia Pa Road, Katikati"
05025005,Ng?i Tauwhao,Ot?whiwhi,"Seaforth Road, Bowentown"
05025006,Ng?i Tauwhao,Rangiwaea,"Main Road, Rangiwaea Island"
05025007,Ng?i Tukairangi,Hungahungatoroa (Whakahinga),"Hungahungatoroa Road, Matapihi"
05025008,Ng?i Tukairangi,Whareroa,"Taiaho Place, Mt Maunganui"
05025009,Ng?i Tuwhiwhia,Opureora,"Opureora Road, Matakana Island"
05025010,Ng?ti He,Opopoti,"Wikitoria Street, Maungatapu"
05025011,Ng?ti Kuku,Whareroa,"Taiaho Place, Mt Maunganui"
05025012,Ng?ti Tapu,Waikari,"62 Waikari Road, Matapihi"
05025013,Ng?ti Tauaiti,Kutaroa,Matakana Island
05025014,Ng?ti Tauaiti,Opureora,"Opureora Road, Matakana Island"
05025015,Te Ngare,Oponui (Rangiwaea),Rangiwaea Island
