,Ng? Maihi,T?teao,"597A Te Teko Road, Te Teko"
,Ng?i Taiwhakaea II,Taiwhakaea,"Taiwhakaeaa Road, Coastlands"
,Ng?i Tamaoki,Ruaihona,"615 Te Teko Road, Te Teko"
,Ng?i Tamapare,Rewatu,"Rewatu Road, Poroporo"
05045001,Ng?i Tamawera,Uiraroa,"Uiraroa Road, Te Teko"
05045002,Ng?i Te Rangihouhiri II,Te Rangihouhiri II,"Thornton Road, Whakat?ne"
05045003,Ng?ti Awa ki Poneke,Te Tumu Herenga Waka,"Victoria University, Wellington"
05045004,Ng?ti Awa ki T?maki Makaurau,M?taatua,"Killington Crescent, M?ngere"
05045005,Ng?ti H?mua,Te M?pou,"2004 SH 30, Te Teko"
05045006,Ng?ti Hikakino,Puawairua,"SH 30 cnr Thornton Road, P?roa"
05045007,Ng?ti Hokop? - Te Hokowhitu a Tu Ki Te R?hui,Te Hokowhitu a T? ki te R?hui,"Keepa Road, Whakat?ne"
05045008,Ng?ti Hokop? - Te Whare o Toroa,Te Whare o Toroa,"Muriwai Drive, Whakat?ne"
05045009,Ng?ti Maumoana,Te Hinga o te Ra (Te Karioi),M?t?t? Island
05045010,Ng?ti Makerewai,Te Rua Kopiha,M?t?t? Island
05045011,Ng?ti P?keko,P?keko,"38 Rewatu Road, Poroporo"
05045012,Ng?ti Rangataua,Rangataua,"Pahou Road, Poroporo"
05045013,Ng?ti Wharepaia,Te Hokowhitu a T? ki te R?hui,"Keepa Road, Whakat?ne"
05045014,Ng?ti Wharepaia,Te Whare o Toroa,"Muriwai Drive, Whakat?ne"
05045015,Te Kahup?ke,Not yet identified,Te Teko
05045016,Te Pahipoto,Kokohinau (Tuhimata),"345F Te Teko Road, Te Teko"
05045017,Te Patuwai,Toroa (Pupuaruhe),"100 Patuwai Road, Whakat?ne"
05045018,Te T?wera,Iramoko,"Withy Road, Matat?"
05045019,Te Wh?nau o Tariao Tapuke,Rangimarie,"281 Rewatu Road, Poroporo"
05045020,Tuariki,Tuariki,"322 Galatea Road, Te Teko"
05045021,Warahoe,Tokitareke (Warahoe),"Galatea Road, Whakat?ne"
05045022,Ng?ti Takahanga,Te Hinga o te Ra (Te Karioi),
