09035001,Ng?ti H?ua,Maniaiti,"458 SH 41, Maniaiti"
09035002,Ng?ti H?ua,Ng?puwaiwaha,"31 Taumarunui Street, Taumarunui"
09035003,Ng?ti H?ua,Pakaitore,Whanganui
09035004,Ng?ti H?ua,Tieke,"Tieke, via Whanganui River"
09035005,Ng?ti H?ua,Wh?nau Maria,"6053 SH4, Okahukura"
09035006,Ng?ti H?ua,Wharauroa,"184 Taupo Road, Taumarunui"
09035007,Ng?ti H?uaroa,Matua Kore,"Piriaka SH4, Taumarunui"
09035008,Ng?ti H?uaroa,Morero,"143 Hakiaha Street, Taumarunui"
09035009,Ng?ti H?uaroa,Ng?puwaiwaha,"31 Taumarunui Street, Taumarunui"
09035010,Ng?ti Heke?wai,Maniaiti,"458 SH 41, Maniaiti"
09035011,Ng?ti Heke?wai,Te Peka,"Hospital Hill, Taumarunui"
09035012,Ng?ti Hinewai,Matua Kore,"Piriaka SH4, Taumarunui"
09035013,Ng?ti Hinewai,Wharauroa,"184 Taupo Road, Taumarunui"
09035014,Ng?ti Hira,Hia Kaitupeka,"Kaitupeka Road, Taringamotu"
09035015,Ng?ti Poutama,Matua Kore,"Piriaka SH4, Taumarunui"
09035016,Ng?ti Rangitengaue,Tawhata,"Tawhata, Whanganui River"
09035017,Ng?ti Reremai,Morero,"143 Hakiaha Street, Taumarunui"
09035018,Ng?ti Ruru,Kirikiriroa,"Near Pipiriki, Whanganui River"
09035019,Ng?ti T?,Tawhata,"Tawhata, Whanganui River"
09035020,Ng?ti Wera/Tuwera,Wharauroa,"184 Taupo Road, Taumarunui"
