01055001,H?hi Katorika,Wait?ruke,"SH 10, Wait?ruke",,,,,,,
01055002,H?peta,Taup?,"Taup? Bay Road, Taup? Bay",,,,,,,
01055003,Ng?ti Aukiwa,Mangat?wai,"390 Taup? Bay Road, Akatarere",,,,,,,
01055004,Ng?ti Aukiwa,Waimahana,Waimahana Bay,,,,,,,
01055005,Ng?ti Kaitangata,Taup?,"Taup? Bay Road, Taup? Bay",,,,,,,
01055006,Ng?ti Rangimatamomoe,?tangaroa (Mangawhero),"599 ?tangaroa Road, ?tangaroa",,,,,,,
01055007,Ng?ti Rangimatamomoe,Waihapa,"Waihapa Road, K?eo",,,,,,,
01055008,Ng?ti Roha,Taem?ro,"Taem?ro Bay, Mang?nui",,,,,,,
01055009,Ng?ti Rua,Taup?,"Taup? Bay Road, Taup? Bay",,,,,,,
01055010,Riwhi,Waihapa,"Waihapa Road, K?eo",,,,,,,
01055011,Te H?ia,?tangaroa (Mangawhero),"599 ?tangaroa Road, ?tangaroa",,,,,,,
01055012,Te Pania,Waihapa,"Waihapa Road, K?eo",,,,,,,
01055013,Te Pohotiare,Waihapa,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
