01025001,Matakairiri / Pikaahu,Karepori,"Oruru Road, Taipa",,,,,,
01025002,Matarahurahu,K?nana,"K?nana Road, Oruaiti",,,,,,
01025003,Ng?i Tohianga,?turu,"223 ?turu Road, Kait?ia",,,,,,
01025004,Ng?ti Ruaiti,Waitetoki,"Waiaua Road, Hihi",,,,,,
01025005,Ng?ti Takiora / Ng?i Tauurutakaware,Aputerewa,"310 Backriver Road, Mang?nui",,,,,,
01025006,Ng?ti Tara ki Parapara,Parapara,"Parapara - Toatoa Road, Parapara",,,,,,
01025007,Ng?ti Tara ki Werowero,Werowero,"Lake Ohia Road, Karikari Peninsula",,,,,,
01025008,Ng?ti Taranga,Mangataiore,"Victoria Valley Road, Victoria Valley",,,,,,
01025009,Ng?ti Te R?runga / Te Paatu,Ko Te Ahua,"652 Parapara - Toatoa Road, Toatoa",,,,,,
01025010,Patu K?raha,Kareponia,"5988 SH10, Awanui",,,,,,
01025011,Te Paatu ki Pam?p?ria,Te Paatu,"7075 SH 1, Pam?p?ria",,,,,,
01025012,Te Paatu ki P?ria,Te Kauhanga,"Honeymoon Road, P?ria",,,,,,
01025013,Te Tahawai,Takahue,"728 Takahue Road, Takahue",,,,,,
01025014,Te Wh?nau Moana,Karikari,"Karikari Beach, Kait?ia",,,,,,
01025015,Te Wh?nau Moana / Te Rorohuri,Haiti-tai-marangai,"Whatuwhiwhi Road, Karikari Peninsula",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
