07035001,Ng?i Te Rangikoianake,Kahur?naki,"1862 SH 2, Te Hauke"
07035002,Ng?i Te ?pokoiri,Om?hu,"1857 SH 50, Fernhill"
07035003,Ng?i Te ?pokoiri,R?nanga,"559 Taihape Road, Pukehamoamoa"
07035004,Ng?i Te ?pokoiri,Te ?whina,"Taihape Road, Fernhill"
07035005,Ng?ti H?wea,Matahiwi,"376 Lawn Road, Clive"
07035006,Ng?ti H?wea,Ruah?pia,"Ruahapia Road, Hastings"
07035007,Ng?ti H?wea,Waipatu,"71 SH2, Hastings"
07035008,Ng?ti Hikatoa,Waim?rama,"Taupunga Road, Waim?rama"
07035009,Ng?ti Hinemanu,Om?hu,"1857 SH 50, Fernhill"
07035010,Ng?ti Hinemanu,R?nanga,"559 Taihape Road, Pukehamoamoa"
07035011,Ng?ti Hinemanu,Te ?whina,"Taihape Road, Fernhill"
07035012,Ng?ti Hinemanu,Winiata,"5035 SH 1, Taihape"
07035013,Ng?ti Hinemoa,Waipatu,"71 SH2, Hastings"
07035014,Ng?ti Honom?kai,Om?hu,"1857 SH 50, Fernhill"
07035015,Ngati H?ri,Ruah?pia,"Ruahapia Road, Hastings"
07035016,Ngati H?ri,Waipatu,"71 SH2, Hastings"
07035017,Ng?ti H?toa,Taraia,"Old Main Road, Paki Paki"
07035018,Ng?ti Kautere,Matahiwi,"376 Lawn Road, Clive"
07035019,Ng?ti Kurukuru,Waim?rama,"Taupunga Road, Waim?rama"
07035020,Ng?ti Mahuika,Om?hu,"1857 SH 50, Fernhill"
07035021,Ng?ti Mahuika,R?nanga,"559 Taihape Road, Pukehamoamoa"
07035022,Ng?ti Mahuika,Te ?whina,"Taihape Road, Fernhill"
07035023,Ng?ti Mihiroa,Mihiroa,"384 Paki Paki Road, Paki Paki"
07035024,Ng?ti Ngarengare,Houngarea,"Miriama Road, Paki Paki"
07035025,Ng?ti Paki,Winiata,"5035 SH 1, Taihape"
07035026,Ng?ti Papatuam?ro,Houngarea,"Miriama Road, Paki Paki"
07035027,Ng?ti P?poro,Korongat?,"Maraekakaho Road, Bridge Pa"
07035028,Ng?ti P?poro,Mangaroa,"Raukawa Road, Bridge Pa"
07035029,Ng?ti Rahunga,Mangaroa,"Raukawa Road, Bridge Pa"
07035030,Ng?ti Tamakopiri,Moawhango,"Napier - Taihape Road, Moawhango"
07035031,Ng?ti Tamater?,Houngarea,"Miriama Road, Paki Paki"
07035032,Ng?ti Taraia,Taraia,"Old Main Road, Paki Paki"
07035033,Ng?ti Te Rehunga,Houngarea,"Miriama Road, Paki Paki"
07035034,Ng?ti Urakiterangi,Waim?rama,"Taupunga Road, Waim?rama"
07035035,Ng?ti Whakaiti,Waim?rama,"Taupunga Road, Waim?rama"
07035036,Ng?ti Whatui?piti,Kahur?naki,"1862 SH 2, Te Hauke"
07035037,Ng?ti Whatui?piti,Korongat?,"Maraekakaho Road, Bridge Pa"
07035038,Ng?ti Whiti,Moawhango,"Napier - Taihape Road, Moawhango"
07035039,Ng?ti Whiti,Te Riu o Puanga,"Napier Taihape or Gentle Annie Road, Moawhango"
07035040,Ng?ti Whitikaupeka,Moawhango,"Napier - Taihape Road, Moawhango"
