07085001,Ng?i Tahu o Kahungunu,Rakaut?tahi,"Snee Road, Takapau Plains"
07085002,Ng?i Tahu o Kahungunu,Rongo o Tahu,"Paulsens Stock Road, Takapau"
07085003,Ng?i Te Kikiri o Te Rangi,Rakaut?tahi,"Snee Road, Takapau Plains"
07085004,Ng?i Te ?atua,Pourerere,"Pourerere Road, Pourerere"
07085005,Ng?i Toroiwaho,Mataweka,"194 Tapairu Road, Waipawa"
07085006,Ng?i Toroiwaho,Rakaut?tahi,"Snee Road, Takapau Plains"
07085007,Ng?ti Hinetewai,Rongomaraeroa,"P? Road, P?rangahau"
07085008,Ng?ti Kekehaunga,Pukehou,"2539 SH 2, Pukehou"
07085009,Ng?ti Kere,Rongomaraeroa,"P? Road, P?rangahau"
07085010,Ng?ti Manuhiri,Rongomaraeroa,"P? Road, P?rangahau"
07085011,Ng?ti M?rau o Kahungunu,Tapairu,"15 Marae Street, Waipawa"
07085012,Ng?ti Parakiore,Waipukurau,"Takapau Road, Waipukurau"
07085013,Ng?ti Pihere,Rongomaraeroa,"P? Road, P?rangahau"
07085014,Ng?ti Pukututu,Pukehou,"2539 SH 2, Pukehou"
07085015,Ng?ti Tamatea,Waipukurau,"Takapau Road, Waipukurau"
07085016,Ng?ti Tamater?,Pourerere,"Pourerere Road, Pourerere"
07085017,Ng?ti Whatui?piti,Mataweka,"194 Tapairu Road, Waipawa"
07085018,Ng?ti Whatui?piti,Pukehou,"2539 SH 2, Pukehou"
07085019,Ng?ti Whatui?piti,Te Whatui?piti,"1080 Te Aute Trust Road, Poukawa"
07085020,Rangi Te Kahutia,Rakaut?tahi,"Snee Road, Takapau Plains"
07085021,Rangitotohu,Rakaut?tahi,"Snee Road, Takapau Plains"
07085022,Tamatea Hinepare o Kahungunu,Rongomaraeroa,"P? Road, P?rangahau"
