10045001,Ng?ti Hikitanga,Kikopiri,"Muhunoa West Road, ?hau"
10045002,Ng?ti Huia,Huia,"507 SH 1, Levin"
10045003,Ng?ti Huia,Katihiku,"Swamp Road, Te Horo"
10045004,Ng?ti Huia,Matau,"Clay Road North, Levin"
10045005,Ng?ti Kapumanawawhiti,Te Pou o Tainui (Tainui),"Convent Road, ?taki"
10045006,Ng?ti Kauwhata,Aorangi,"Aorangi Road, Feilding"
10045007,Ng?ti Kauwhata,Kauwhata (Kai Iwi P?),"Te Arakura Road, Feilding"
10045008,Ng?ti Kikopiri,Kikopiri,"Muhunoa West Road, ?hau"
10045009,Ng?ti Korok?,Raukawa,"Mill Road, ?taki"
10045010,Ng?ti Maiotaki,Raukawa,"Mill Road, ?taki"
10045011,Ng?ti Manomano,Taumata o Te R?,"Hastings Street, Halcombe"
10045012,Ng?ti Matakore,Te Hiiri o Mahuta,"Pryces Line, K?k?riki"
10045013,Ng?ti Ng?rongo,Kerer?,"488 K?putaroa Road, K?putaroa"
10045014,Ng?ti Pare,Raukawa,"Mill Road, ?taki"
10045015,Ng?ti Pareraukawa,Ng?tokowaru,"580 H?kio Beach Road, H?kio Beach"
10045016,Ng?ti Parewahawaha,Parewahawaha (?hinepuhiawe),"Domain Road, Bulls"
10045017,Ng?ti Pikiahuwaewae,Poupatat?,"Reureu Road, Halcombe"
10045018,Ng?ti Pikiahuwaewae,Te Tikanga,"Tokorangi Road, Tokorangi"
10045019,Ng?ti R?kau,Motuiti,"278 SH1, Himatangi"
10045020,Ng?ti Rangatahi,Te Hiiri o Mahuta,"Pryces Line, K?k?riki"
10045021,Ng?ti Takihiku,Kerer?,"488 K?putaroa Road, K?putaroa"
10045022,Ng?ti Te Au,Paranui,"SH 1, Himatangi"
10045023,Ng?ti T?korehe,T?korehe,"615 SH 1, Manakau"
10045024,Ng?ti T?ranga,Paranui,"SH 1, Himatangi"
10045025,Ng?ti Wehi Wehi,Wehi Wehi,"944 SH 1, Manakau"
10045026,Ng?ti Whakatere,Whakawehi,"1281 Foxton - Shannon Road, Moutoa"
