07145001,Ng?i Tahu,Hurunui o Rangi,"Gladstone Road, Gladstone"
07145002,Ng?i Tahu,Rakaut?tahi,"Snee Road, Takapau Plains"
07145003,Ng?ti H?mua,Pahiatua,"18 Riccarton Road, Pahiatua"
07145004,Ng?ti Mutuahi,M?kirikiri,"Makirikiri Road, Dannevirke"
07145005,Ng?ti Mutuahi,P?p?uma,"446 Aohanga Road, Pongaroa"
07145006,Ng?ti Mutuahi,Whiti te R? (Poherau),"56 Maharahara Road, Dannevirke"
07145007,Ng?ti Pakapaka,Kaitoki,"Weber Road, Dannevirke"
07145008,Ng?ti Pakapaka,P?p?uma,"446 Aohanga Road, Pongaroa"
07145009,Ng?ti Parakiore,- No existing marae -,
07145010,Ng?ti Rangitotohu,Rakaut?tahi,"Snee Road, Takapau Plains"
07145011,Ng?ti Ruat?tara,- No existing marae -,
07145012,Ng?ti Te Koro,Te Ahu a Turanga i Mua,"Tay Street, Woodville"
07145013,Ng?ti Te Rangiwhakaewa,Kaitoki,"Weber Road, Dannevirke"
07145014,Ng?ti Te Rangiwhakaewa,M?kirikiri,"Makirikiri Road, Dannevirke"
07145015,Ng?ti Te Rangiwhakaewa,Te Ahu a Turanga i Mua,"Tay Street, Woodville"
07145016,Ng?ti Whakawehi,- No existing marae -,
07145017,Te Hika a P?p?uma,P?p?uma,"446 Aohanga Road, Pongaroa"
07145018,Te Kapu?rangi,Pahiatua,"18 Riccarton Road, Pahiatua"
