07015001,Hinewhak?ngi (Hinewhata),Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07015002,Ng?i T?rewa,Not yet identified,
07015003,Ng?i Te R?kato,Te R?kat?,"Kaiwaitau Road, M?hia"
07015004,Ng?i T? / Ng?i Takoto,Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07015005,Ng?i T? / Ng?i Takoto,M?hanga (Rongomaiwahine),"728 Mahanga Road, N?haka"
07015006,Ng?i T? / Ng?i Takoto,Tuahuru,"644 M?hia East Coast Road, M?hia"
07015007,Ng?ti Hikairo,Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07015008,Ng?ti Meke,Not yet identified,
07015009,Ng?ti Tama,Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07015010,Ng?ti Tama,Ruawharo,"Opoutama Road, ?poutama"
07015011,Ng?ti Tama,Tuahuru,"644 M?hia East Coast Road, M?hia"
07015012,Ng?ti Ruawharo,Kaiuku (Oku-ra-renga),"349 M?hia East Coast Road, M?hia"
07015013,Ng?ti Ruawharo,Ruawharo,"Opoutama Road, ?poutama"
07015014,Ng?ti Ruawharo,Tuahuru,"644 M?hia East Coast Road, M?hia"
